Q104,Q104_4_TEXT,Q107,Q107_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q120,Q120_4_TEXT,Q123,Q123_4_TEXT,Q11_1,Q11_2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13,Q14,Q15,Q16,Q17,Q1,Q5,Q5_7_TEXT,Q37,Q37_4_TEXT,Q38,Q39,Q40_1,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q42,Q42_4_TEXT,Q70,Q72,Q66,Q62,Q74,Q64,Q71,Q73,Q83,Q84,Q80,Q78,Q79,SC0,id,attemptCount,attemptCount2,Test score
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,3,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Yes,The new policy would prevent potential regulatory concerns and help build a more transparent relationship with investors,"An ethical reporting policy should be transparent, unbiased, and designed to provide all stakeholders with clear, accurate, and consistent information.",no questions,In Favor (adopt new policy),20,Asian,,Female,,Psychology,4,9,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Disagree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be a man without air for one day,"""Which door would the other guard say leads to freedom?""",the immovable briefly teleports out of the way to let the unstoppable force through,"one country presses the button and the others do not, that country wins the war",no idea,1,5,6,8,4,29665,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,2,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,No,"Changing to the new policy at this moment would create significant short-term challenges for the firm. As noted by the CFO, the current policy is well understood by investors, and altering it would potentially undermine investor confidence in the firm's stability. The firm is planning to raise new equity, and this change could lead to volatility in the stock price and distrust among retail investors, who might not adapt as quickly as institutional investors. Additionally, while the current policy is technically biased, it does not mislead investors, as the adjustment is transparent and well-acknowledged.","An ethical reporting policy should prioritize accuracy, transparency, and fairness. It must ensure that financial disclosures are free from intentional manipulation or bias that could mislead stakeholders. Ethical policies should also consider the equitable treatment of all investors, whether institutional or retail, and promote informed decision-making. In this context, the firm should work toward aligning its earnings reports with actual performance without compromising investor trust. ",How does the management team plan to mitigate risks to investor trust if the policy is eventually changed?,Follow the consensus,21,Asian,,Female,,Economics and strategy,4,8,Agree,Neither agree or disagree,Disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Independent,,42,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Oumuamua,500,,8,8,6,29705,0,0,6
$4.50 ,,$4.75 ,,2,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,"Although the old policy may technically be unethical, the investors are already aware that ABC overestimates its earnings by 50 cents. Changing the policy would mess with the entire system and it just isn’t necessary.",That practices can be easily understood by the investors. They aren’t getting scammed.,NO questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,19,White,,Female,,Marketing,I don’t have one yet (I’m a freshman),6,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Republican,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,I don’t know,11,1,5,3,1,29458,0,0,1
$4.50 ,,$4.75 ,,3,4,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,No,"unless prompted by warnings by the gov't, I wouldn't want to do anything that could jeopardize the stock price",reporting policy is ethical if it is accurate or explains an overestimation to avoid conscious misleading. ,no questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,18,White,,Female,,marketing and entrepreneurship ,n/a (freshman 1st sem),6,Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Disagree,Agree,Disagree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Will you let me through the correct door?""",the immovable object repels the unstoppable force,"one country presses the button and the others do not, that country wins the war",a star?,11,5,6,7,5,29443,0,0,5
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,4,Disagree,Disagree strongly,Agree strongly,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,Yes,I think this would maximize transparency and trust.,"An ethical reporting policy should prioritize transparency, accuracy, and fairness.",How should we convey this change in policy to investors?,In Favor (adopt new policy),18,White,,Male,,Finance,N/A (Freshman),3,Neither agree or disagree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Agree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,A comet,1,5,5,6,3,29425,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,3,Neither agree or disagree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,No opinion,I think that the new policy doesn't necessary fix the issue,"a reporting policy should give investors of all backgrounds equal access to the same information to make informed decisions about company stock. While this may mean that clients aren't all informed, they will all have the chance to be informed. ",No questions,Against (retain current policy),18,Asian,,Male,,BSBA,4,7,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Independent,,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Will you let me through the correct door?""",the immovable object repels the unstoppable force,"one country presses the button and the others do not, that country wins the war",meteor,999,10,7,10,2,29463,0,0,2
$4.50 ,,$4.75 ,,2,4,Neither agree or disagree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,Yes,The new policy embodies and promotes honesty and transparency. The new policy reports unbiased earnings and also adopting the new policy corresponds with better ethical standards.,"Again, transparency is a huge characteristic that I view highly and as ethical. Nobody wants to be misled or not in the loop of important information. The reporting policy should also be published or released in a consistent and timely manner. Lastly, though it is unbiased and transparent, there should be little to no lack of accuracy in the company's financial position and reports.",How can you guarantee the accuracy of financial reports under the new policy?,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,Black or African American,,Male,,Architecture,3.4,8,Agree strongly,Neither agree or disagree,Disagree,Agree strongly,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),White,60 minutes,Be an earthworm crushed in an industrial press,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Star,500,5,7 out of 10,8 out of 10,5,29573,0,0,5
$4.50 ,,$4.75 ,,4,3,Disagree,Disagree strongly,Disagree,Disagree strongly,Disagree,Disagree strongly,Disagree,Disagree strongly,No,I think it is better for the firm to raise more capital. ,number with relative explanation ,No questions,Against (retain current policy),,,,,,,,,,,,,,,,,,,,22,Asian,,Male,,Finance/ Econ,3.6,8,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Democrat,,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",White,60 minutes,Be an earthworm crushed in an industrial press,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,"one country presses the button and the others do not, that country wins the war",no idea,500,7,8,6,6,29773,0,0,6
$4.50 ,,$4.75 ,,2,4,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Yes,"The new policy makes it easier for both parties to easily evaluate the truth. I understand that for investors they typically need to adjust their numbers, but would it not be easier to have the numbers correct in the first place?","A policy that used the real numbers and elaborated to the investors that this is the most ethical solution. Also, asking investors if they actually believe this will benefit them should be considered. Although the company may desire the more ethical approach, the most truthful approach may be the current policy considering that is what investors consider the truth.",No Questions ,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,19,Black or African American,,Female,,Finance ,3,5,Disagree strongly,Agree,Agree,Disagree strongly,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),White,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Probably a rock/astroid,999,3,9,9,3,29363,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,4,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,"Stock holders play a huge role in a company, going against the or doing something they dislike will negatively impact the company in the long run.",I do not believe the reporting policy is ethical.,No questions,Against (retain current policy),18,Asian,,Female,,Business + Computer Science ,N/A,6,Agree,Neither agree or disagree,Agree,Agree strongly,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Democrat,,0,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Asteroid ,999,2,7,7,2,29352,0,0,2
$4.50 ,,$4.75 ,,3,2,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Agree,Agree,Disagree,No,"The current policy has been around and has been working for the past years, there is no need to change it now and confuse investors.","An ethical reporting policy would simply be transparent. There are different laws for reporting different kinds of income, which follow different accounting rules. This makes a straight policy impossible. As long as it is transparent, it would be ethical to me.",No questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,18,Asian,,Female,,Finance,4,5,Neither agree or disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Democrat,,0,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,two or more countries press the button and nuclear annihilation occurs,asteriod,11,3,3,8,3,29335,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,less hidden,transperant,no questions,Abstain,20,"White,Spanish, Hispanic, or Latino",,Male,,Finance ,3.88,10,Neither agree or disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree strongly,Agree,Republican,,42,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Impossible to tell,90 minutes,Be an earthworm crushed in an industrial press,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,"one country presses the button and the others do not, that country wins the war",rock,11,5,7,8,5,29003,0,0,5
$4.50 ,,$4.75 ,,2,3,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,"The current policy is dishonest - even if people would assume that the new policy is biased, its not the board's fault if they assume that. ",Ethical reporting policy isn't biased,no questions ,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,22,White,,Female,,economics ,3.5,7,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Disagree,Agree,Agree,Other,,0,the traveler would necessarily end up in the same place in (1) and (2),White,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,asteroid ,11,3,5,8,3,29571,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,4,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,No opinion,"It is dishonest to a degree, but since it is well-understood, I don't think it's immoral. ",Any policy that is clear to investors and is within a certain margin of error would seem fair to me. ,No questions,Abstain,20,"White,Spanish, Hispanic, or Latino",,Male,,Political Science + OSM,3.7,9,Disagree,Disagree,Agree,Neither agree or disagree,Agree strongly,Disagree strongly,Neither agree or disagree,Neither agree or disagree,Democrat,,100,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,90 minutes,Be an earthworm crushed in an industrial press,"""Does your door lead to freedom?""",the unstoppable force moves through the immovable object without interacting with it,"one country presses the button and the others do not, that country wins the war",I'm not sure.,11,2,4,6,2,29741,0,0,2
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,4,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,No opinion,I think I would need more qualitative data and trends,"I would say that an ethical reporting policy should prioritize transparency, accountability, and fairness.",No questions,Follow the consensus,20,White,,Female,,OSM,3.8,3,Neither agree or disagree,Agree,Disagree,Agree,Disagree strongly,Disagree,Agree,Agree,Independent,,100,the traveler would necessarily end up in the same place in (1) and (2),Brown,60 minutes,Be a common cold virus thrown into sulfuric acid,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,n/a,500,,7,6,2,29006,0,0,2
$4.50 ,,$4.75 ,,2,3,Agree,Disagree,Agree,Neither agree or disagree,Disagree,Disagree strongly,Neither agree or disagree,Disagree strongly,Yes,"Despite it being taken advantage of by hedge funds in the short term, long term this solves the issue. It also prevents legal issues for misrepresentation","id say ethical reporting is reporting a value that is as accurate as the firm can. in this case despite the problems with the reporting, changing it would negatively effect stockholders. this would be ethical to change as long term it is a benefit and more accurate.",No questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,21,White,,Male,,BUCS,3.9,6,Agree,Agree strongly,Neither agree or disagree,Disagree,Disagree strongly,Agree,Neither agree or disagree,Agree,Democrat,,0,the traveler would not necessarily end up in the same place in (1) or (2),White,60 minutes,Be a fish thrown in lava,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,meteor,999,5,5,6,3,29732,0,0,3
$4.50 ,,$4.75 ,,4,2,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Agree,No opinion,I recommend the implementation of clear and true communication that is transparent and effective. ,I believe that transparent and true information is necessary. ,No questions ,Abstain,,,,,,,,,,,,,,,,,,,,19,Black or African American,,Male,,Marketing and OSM ,3.35,7,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Star,11,,3,7,3,29697,0,0,3
$4.50 ,,$4.75 ,,4,3,Neither agree or disagree,Disagree,Agree,Agree,Agree strongly,Agree,Agree strongly,Disagree,No,"Given the current situation, changing the reporting method at this time would harm both the company and investors, benefiting nobody.","I believe the company should be honest, and in the future offer a clear disclaimer that there is a margin of error that accounts for the over report.",I would ask why the over reporting policy was initiated to begin with.,Against (retain current policy),,,,,,,,,,,,,,,,,,,,19,White,,Male,,Finance,N/A,6,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,Independent,,42,the traveler would necessarily end up in the same place in (1) and (2),White,90 minutes,Be an alien on the surface of a star going supernova,"""Will you let me through the correct door?""",the unstoppable force moves through the immovable object without interacting with it,two or more countries press the button and nuclear annihilation occurs,I don’t know,999,4,10-Jun,10-Aug,4,29454,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,5 (most ethical),Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Yes,"As a board member, recommending the new policy on stock price imaging aligns with principles of transparency and integrity, which are essential for maintaining trust with investors, stakeholders, and the public. An honest representation of stock price imaging provides an accurate picture of the company's financial health, which is vital for informed decision-making among shareholders and potential investors.","In my view, an ethical reporting policy should prioritize transparency, accuracy, and accountability. At its core, an ethical policy provides stakeholders with a truthful, clear, and comprehensive understanding of the organization’s performance and practices.",no questions,In Favor (adopt new policy),20,Asian,,Male,,Economics and Strategy,3.47,8,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Agree,Agree,Republican,,0,the traveler would necessarily end up in the same place in (1) and (2),Brown,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,I have no clue. ,500,2,4,5,2,29830,0,0,2
$4.50 ,,$4.75 ,,4,5 (most ethical),Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,The system currently works just fine. ,"If it was explicitly stated that that number was incorrect by 50 cents, then this would be ethical potentiallh. ",No questions,Follow the consensus,,,,,,,,,,,,,,,,,,,,20,White,,Male,,Finance,3.97,6,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree strongly,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,Meteor,1,3,7,10,3,29593,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,3,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,I think that changing to the new policy would be more honest as a company and in the long term would lead investors to trust reported earnings. ,I think that reporting policies should be fully truthful.,I am curious how the company currently communicates their underreporting of earnings. ,Follow the consensus,23,White,,Male,,Finance,3.8,6,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Disagree strongly,Disagree,Disagree,Neither agree or disagree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),White,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,,11,5,5,5,5,29583,0,0,5
$4.50 ,,$4.75 ,,1 (least ethical),5 (most ethical),Agree,Neither agree or disagree,Agree strongly,Disagree,Agree strongly,Disagree,Agree strongly,Disagree,Yes,"It is unlawful and unethical, we need to stay legal",Reporting the truth,no questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,21,"White,Spanish, Hispanic, or Latino",,Male,,Economics and Strategy,3.8,5,Agree,Disagree strongly,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Disagree,Agree,Democrat,,42,the traveler would necessarily end up in the same place in (1) and (2),White,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Will you let me through the correct door?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,astroid,500,4,8,10,4,29815,0,0,4
$4.50 ,,$4.75 ,,2,5 (most ethical),Agree,Disagree strongly,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,It is not ethical to report biased numbers and just assume that investors will account for it. ,As accurate as possible would be the most ethical. ,No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,"White,Spanish, Hispanic, or Latino",,Male,,Business and Computer Science,3.8,3,Disagree,Agree,Neither agree or disagree,Disagree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree,Independent,,0,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",White,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,A meteor? ,999,10,8,10,4,29377,0,0,4
$4.50 ,,$4.75 ,,2,4,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Yes,It's better to be honest than to be running your company through lies. What else may we be lying about?,It would be ethical to tell the truth. Lying even though people know what you mean is still lying at the end of the day.,No questions,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,19,Black or African American,,Male,,Business,4,9,Agree strongly,Disagree,Disagree,Agree,Neither agree or disagree,Disagree strongly,Disagree,Neither agree or disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,"one country presses the button and the others do not, that country wins the war",A shooting star,11,10,80,80,3,29446,0,0,3
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,5 (most ethical),2,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,No,I feel like its common knowledge with the first policy. The second policy would cause a lot of confusion and it would mislead investors.  ,"Specific details, giving the investor all of the information. ",No questions,Against (retain current policy),18,White,,Female,,Marketing,N/A,7,Neither agree or disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Republican,,0,the traveler would necessarily end up in the same place in (1) and (2),Black,90 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the immovable object repels the unstoppable force,no country presses the button and the status-quo remains,The Sun,11,2,6,7,1,29336,0,0,1
$4.50 ,,$4.75 ,,2,4,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Yes,I believe that investors should have to research and know the numbers they are looking at and that the company must provide correct numbers,"As long as the company provides the correct numbers, it is ethical",no,In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,19,White,,Male,,Marketing,3.75,7,Neither agree or disagree,Agree,Disagree,Agree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Republican,,100,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Impossible to tell,60 minutes,Be an alien on the surface of a star going supernova,"""Does your door lead to freedom?""",the unstoppable force goes around the immovable object,no country presses the button and the status-quo remains,astroid,1,2,7,9,2,29587,0,0,2
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,2,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,No,I would not let investors assume that there's bias,The core of ethical reporting is the commitment to truth. The information provided in financial reports should be accurate and not manipulated to present a more favorable or unfavorable picture than what truly exists. ,no quesitons,Against (retain current policy),18,Asian,,Female,,Business and Computer Science,N/A,6,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Democrat,,42,"the traveler would necessarily end up in the same place in (1), but not necessarily in (2)",Impossible to tell,90 minutes,Be an earthworm crushed in an industrial press,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,"one country presses the button and the others do not, that country wins the war",IDK,500,,70,90,4,29345,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,5 (most ethical),Disagree,Disagree strongly,Neither agree or disagree,Disagree strongly,Neither agree or disagree,Disagree strongly,Agree,Disagree strongly,No,"A precedent has already been set, and everyone already understands the precedent, so why change it. ",An ethical reporting policy is one that does not attempt to deceive those who it is reporting to. ,No questions,Follow the consensus,18,"White,Asian",,Male,,Business & Computer Science (BUCS),N/A,5,Agree,Agree strongly,Agree,Disagree,Disagree,Disagree,Agree,Neither agree or disagree,Democrat,,42,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",Brown,90 minutes,Be an earthworm crushed in an industrial press,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,two or more countries press the button and nuclear annihilation occurs,Your answer,500,5,5,7,5,29513,0,0,5
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,2,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,No,I think they should try to explain their EPS accurately since they would be lying to investors and they are people who are funding the business and trusting them with their capital.,I would view it to be ethical if it were accurate,No questions,In Favor (adopt new policy),19,"Spanish, Hispanic, or Latino",,Female,,Marketing,3.3,8,Agree strongly,Disagree,Disagree,Agree strongly,Disagree,Neither agree or disagree,Disagree,Disagree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,There is no way of knowing the correct door.,the unstoppable force goes around the immovable object,"one country presses the button and the others do not, that country wins the war",asteroide,1,2,8,9,2,29711,0,0,2
$4.50 ,,$4.75 ,,2,5 (most ethical),Neither agree or disagree,Disagree,Agree,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Yes,"It is worth getting ahead of the legal consequences, especially with any potential brand image damage that may occur. The long-term reputational damage outweighs the short-term benefit. Likewise, it is only fair for markets to be consistently and fairly regulated, and the current policy violates that.","I think the latter policy makes sense! Just make sure to write it in the notes and publicly acknowledge the change. Retail makes up such a small proportion of investors that the change hardly matters, alongside retail likely believing that their medium inherently carries more risk. ","What are the image impacts, not stock impacts, of changing the policy? ",In Favor (adopt new policy),,,,,,,,,,,,,,,,,,,,20,White,,Male,,"Marketing, Economics and Strategy ",4,7,Disagree,Disagree,Agree,Disagree,Disagree strongly,Agree,Agree,Agree,Democrat,,42,"the traveler would necessarily end up in the same place in (2), but not necessarily in (1)",White,60 minutes,Be a common cold virus thrown into sulfuric acid,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,"Logically, light, as I believe it is both massive and energetic? Does that quality as an object?",1,6,"I know way more than 6 out of 10 of these, so 8 ",I am a singular frame of reference. 8. ,6,29700,0,0,6
$4.50 ,,$4.75 ,,1 (least ethical),3,Agree strongly,Neither agree or disagree,Agree strongly,Agree,Agree strongly,Agree,Agree strongly,Agree,Yes,I would report all earnings without bias and disclose that earnings are up to date and standardly measured. Could accompany financial statements as well. ,"I would view accurate and transparent reporting as ethical, meaning that the company cannot change any values of the statistics and the stats should be laid out in context to the company’s other financial reports. ",No questions,Abstain,,,,,,,,,,,,,,,,,,,,19,White,,Male,,Finance and economics/strategy,3.53,6,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Republican,,100,the traveler would necessarily end up in the same place in (1) and (2),Impossible to tell,60 minutes,Be a common cold virus thrown into sulfuric acid,There is no way of knowing the correct door.,the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Moon ,11,10,7,9,2,29819,0,0,2
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,2,5 (most ethical),Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,Long-term trust with investors and reduction of legal and regulatory risks.,"The report that shows transparency, accuracy, and fairness.",No question,In Favor (adopt new policy),22,Asian,,Male,,Economic Strategy,3.7,3,Agree,Neither agree or disagree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,Democrat,,100,the traveler would necessarily end up in the same place in (1) and (2),Brown,60 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force moves through the immovable object without interacting with it,no country presses the button and the status-quo remains,Asteroid,11,4,7,7,4,29756,0,0,4
,,,,,,,,,,,,,,,,,,,$5.50 ,,$5.75 ,,3,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Then people will think they are investing in something higher which is worse.,you would have to be REALLY clear to all investors.,no questions,Against (retain current policy),20,Black or African American,,Female,,Economics,4,6,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Democrat,,42,the traveler would not necessarily end up in the same place in (1) or (2),Impossible to tell,90 minutes,Be an alien on the surface of a star going supernova,"""Which door would the other guard say leads to freedom?""",the unstoppable force goes around the immovable object,two or more countries press the button and nuclear annihilation occurs,matter,11,,4,7,3,29739,0,0,3
